Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56000000000000E+01,,,
Afghanistan,AFG,"Children out of school, primary",SE.PRM.UNER,,,,,,,,,,,,,,,1.55983500000000E+06,,,,,,,,,,,,,,,,,,,2.09475000000000E+06,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,CO2 emissions (kg per 2000 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.37260000000000E+01,3.33000000000000E+01,3.28640000000000E+01,3.24150000000000E+01,3.19550000000000E+01,3.14830000000000E+01,3.10050000000000E+01,3.05230000000000E+01,3.00430000000000E+01,2.95660000000000E+01,2.90900000000000E+01,2.86100000000000E+01,2.81250000000000E+01,2.76360000000000E+01,2.71480000000000E+01,2.66710000000000E+01,2.62160000000000E+01,2.57910000000000E+01,2.54020000000000E+01,2.50490000000000E+01,2.47290000000000E+01,2.44370000000000E+01,2.41620000000000E+01,2.38940000000000E+01,2.36290000000000E+01,2.33640000000000E+01,2.30980000000000E+01,2.28340000000000E+01,2.25740000000000E+01,2.23170000000000E+01,2.20620000000000E+01,2.18120000000000E+01,2.15650000000000E+01,2.13200000000000E+01,2.10720000000000E+01,2.08150000000000E+01,2.05420000000000E+01,2.02490000000000E+01,1.99350000000000E+01,1.96010000000000E+01,1.92550000000000E+01,1.89030000000000E+01,1.85550000000000E+01,1.82160000000000E+01,1.78890000000000E+01,1.75700000000000E+01,1.72550000000000E+01,1.69350000000000E+01,1.66070000000000E+01,1.62700000000000E+01,1.59290000000000E+01,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,5.56069955526125E+01,5.56686513915495E+01,5.43596445321270E+01,7.31987718806644E+01,7.63730266056985E+01,9.40987322771238E+01,1.28114506357103E+02,1.49891166358643E+02,1.20351478374739E+02,1.20655145120637E+02,1.46168018057699E+02,1.49196928477073E+02,1.26694855066372E+02,1.34205675294982E+02,1.63004176872913E+02,1.75236674321795E+02,1.84552225370041E+02,2.08013937590796E+02,2.26693962548434E+02,2.47760411759374E+02,2.37971524053765E+02,2.22175069416742E+02,,,,,,,,,,,,,,,,,,,,9.22061155243655E+01,1.57976502494037E+02,1.68678322132990E+02,1.96232141347011E+02,2.27880362481032E+02,2.51106165335946E+02,3.06978416838458E+02,3.67194244606203E+02,4.25071195552662E+02,5.01470946736323E+02,5.75968423681612E+02,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11213701403225E+01,6.37821867017708E+00,1.13131932089461E+01,8.12568081995535E+00,8.07216626494558E+00,5.53042082738060E-01,1.70849710342884E+01,5.22088244234382E+00,,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,5.48888849066667E+08,5.60000022755556E+08,5.57777806222222E+08,7.66666706488889E+08,8.15555561244444E+08,1.02666667804444E+09,1.42888887182222E+09,1.70888888320000E+09,1.40222218240000E+09,1.43777773795556E+09,1.78444442737778E+09,1.86888665315556E+09,1.63110893795556E+09,1.77110894364444E+09,2.20222222791111E+09,2.41777777777778E+09,2.61111116231111E+09,3.01777769813333E+09,3.37111103715556E+09,3.77574372318847E+09,3.71655337594128E+09,3.55151499636364E+09,,,,,,,,,,,,,,,,,,,,2.46166631478366E+09,4.02742682286863E+09,4.75903890093116E+09,5.71254274395382E+09,6.82589844615911E+09,8.20937531830157E+09,1.01504971373413E+10,1.08096785952051E+10,1.25784823227476E+10,1.51622073280974E+10,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,3.11320975609756E+01,3.14752926829268E+01,3.18320243902439E+01,3.22042682926829E+01,3.25910487804878E+01,3.29898780487805E+01,3.33967317073171E+01,3.38091463414634E+01,3.42230731707317E+01,3.46375121951220E+01,3.50559756097561E+01,3.54814146341463E+01,3.59168780487805E+01,3.63613170731707E+01,3.68107317073171E+01,3.72571219512195E+01,3.76909756097561E+01,3.81062926829268E+01,3.84965853658537E+01,3.88618536585366E+01,3.92041219512195E+01,3.95269512195122E+01,3.98398292682927E+01,4.01492439024390E+01,4.04586829268293E+01,4.07705853658537E+01,4.10848780487805E+01,4.13990000000000E+01,4.17109268292683E+01,4.20211951219512E+01,4.23293658536585E+01,4.26360000000000E+01,4.29397317073171E+01,4.32420975609756E+01,4.35426585365854E+01,4.38409024390244E+01,4.41368048780488E+01,4.44298048780488E+01,4.47213414634146E+01,4.50098536585366E+01,4.52928536585366E+01,4.55672682926829E+01,4.58331463414634E+01,4.60924390243902E+01,4.63511951219512E+01,4.66164146341463E+01,4.68990975609756E+01,4.72053170731707E+01,4.75385609756098E+01,4.78988536585366E+01,4.82821951219512E+01,,
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Children out of school, primary",SE.PRM.UNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21100000000000E+03,2.11900000000000E+03,1.54500000000000E+03,,8.44500000000000E+03,1.57540000000000E+04,,,,3.77630000000000E+04,4.30100000000000E+04,4.32340000000000E+04,,
